Vendor|CardName|PointsValueCpp|slug-id|ImageURL|MinCreditScore|MaxCreditScore|ApplicationLink
Synchrony|Best Buy Credit Card|1.0|best-buy-credit-card|/static/images/credit_cards/best-buy-credit-card.PNG|670|850|https://www.citi.com/credit-cards/citi-best-buy-credit-cards
Synchrony|Amazon Prime Store Card|N/A|amazon-prime-store-card|/static/images/credit_cards/amazon-prime-store-card.PNG|670|850|https://www.amazon.com/Amazon-Prime-Store-Card/b?node=21289116011
Synchrony|Amazon Store Card|N/A|amazon-store-card|/static/images/credit_cards/amazon-store-card.JPG|670|850|https://www.amazon.com/Amazon-Prime-Store-Card/b?node=21289116011
Synchrony|Lowe’s Advantage Card|N/A|lowes-advantage-card|/static/images/credit_cards/lowes-advantage-card.jpeg|670|850|https://www.lowes.com/l/Credit/consumer-credit-card
Synchrony|Sam’s Club Mastercard|N/A|sams-club-mastercard|/static/images/credit_cards/sams-club-mastercard.PNG|670|850|https://www.samsclub.com/credit
Synchrony|PayPal Credit|N/A|paypal-credit|/static/images/credit_cards/paypal-credit.PNG|670|850|https://www.paypal.com/us/digital-wallet/ways-to-pay/credit-services
Santander|Santander Unlimited Cash Rewards Card|N/A|santander-unlimited-cash-rewards-card|/static/images/credit_cards/santander-unlimited-cash-rewards-card.jpeg|670|850|https://www.santanderbank.com/personal/credit-cards
U.S. Bank|U.S. Bank Smartly Visa Signature Card|N/A|us-bank-smartly-visa-signature-card|/static/images/credit_cards/us-bank-smartly-visa-signature-card.PNG|670|850|https://applications.usbank.com/oad/termsSimpleApply.controller?locationCode=8069&offerId=36672BDX52&sourceCode=87869
U.S. Bank|U.S. Bank Shield™ Visa Card|N/A|us-bank-shield-visa-card|/static/images/credit_cards/us-bank-shield-visa-card.PNG|670|850|https://applications.usbank.com/oad/termsSimpleApply.controller?locationCode=8069&offerId=7HDBW6317B&sourceCode=86798
U.S. Bank|U.S. Bank Altitude Connect Visa Signature Card|1.0|us-bank-altitude-connect-visa-signature-card|/static/images/credit_cards/us-bank-altitude-connect-visa-signature-card.PNG|670|850|https://applications.usbank.com/oad/termsSimpleApply.controller?locationCode=18569&offerId=8BB5BD89H1&sourceCode=88416
U.S. Bank|U.S. Bank Altitude Reserve Visa Infinite Card|1.0|us-bank-altitude-reserve-visa-infinite-card|/static/images/credit_cards/us-bank-altitude-reserve-visa-infinite-card.JPG|740|850|https://www.usbank.com/credit-cards/altitude-reserve-visa-infinite-card.html
USAA|USAA Cashback Rewards Plus American Express Card|N/A|usaa-cashback-rewards-plus-american-express-card|/static/images/credit_cards/usaa-cashback-rewards-plus-american-express-card.PNG|670|850|https://www.usaa.com/banking/credit-cards/cashback-rewards-plus-american-express-card
USAA|USAA Preferred Cash Rewards Visa Signature Card|N/A|usaa-preferred-cash-rewards-visa-signature-card|/static/images/credit_cards/usaa-preferred-cash-rewards-visa-signature-card.PNG|670|850|https://www.usaa.com/banking/credit-cards/preferred-cash-rewards-visa-signature-card
Wells Fargo|Wells Fargo Active Cash Card|N/A|wells-fargo-active-cash-card|/static/images/credit_cards/wells-fargo-active-cash-card.PNG|670|850|https://creditcards.wellsfargo.com/active-cash-credit-card/?FPID=0126D7I6F40000&product_code=CC&subproduct_code=AC&cx_nm=CXNAME_CSMPD_MC_carousel_CG&sub_channel=WEB&vendor_code=WF
Wells Fargo|Wells Fargo Reflect Card|N/A|wells-fargo-reflect-card|/static/images/credit_cards/wells-fargo-reflect-card.PNG|670|850|https://creditcards.wellsfargo.com/reflect-visa-credit-card/?FPID=013000IGF80000&product_code=CC&subproduct_code=VV&cx_nm=CXNAME_CSMPD_MC_carousel_CG&sub_channel=WEB&vendor_code=WF
Wells Fargo|Wells Fargo Active Cash Secured Credit Card|N/A|wells-fargo-active-cash-secured-credit-card|/static/images/credit_cards/wells-fargo-active-cash-secured-credit-card.PNG|300|579|https://creditcards.wellsfargo.com/active-cash-secured-credit-card
Wells Fargo|Wells Fargo Autograph Card|1.0|wells-fargo-autograph-card|/static/images/credit_cards/wells-fargo-autograph-card.PNG|670|850|https://creditcards.wellsfargo.com/autograph-visa-credit-card/?FPID=012988I6P10000&product_code=CC&subproduct_code=AU&cx_nm=CXNAME_CSMPD_MC_carousel_CG&sub_channel=WEB&vendor_code=WF
Wells Fargo|Wells Fargo Reflect Secured Credit Card|N/A|wells-fargo-reflect-secured-credit-card|/static/images/credit_cards/wells-fargo-reflect-secured-credit-card.png|300|579|https://creditcards.wellsfargo.com/reflect-secured-credit-card
Wells Fargo|Bilt Mastercard|1.25|bilt-mastercard|/static/images/credit_cards/bilt-mastercard.JPG|670|850|https://www.wellsfargo.com/credit-cards/bilt/
Huntington|Huntington Voice Visa Card|1.0|huntington-voice-visa-card|/static/images/credit_cards/huntington-voice-visa-card.PNG|670|850|https://www.huntington.com/apply/cc-rewards
Navy Federal|Navy Federal nRewards Secured Credit Card|1.0|navy-federal-nrewards-secured-credit-card|/static/images/credit_cards/navy-federal-nrewards-secured-credit-card.JPG|300|579|https://links.navyfederal.org/cc?productId=NFCC02
Citi|Citi Strata Elite Card|1.5|citi-strata-elite-card|/static/images/credit_cards/citi-strata-elite-card.webp|670|850|https://www.citi.com/credit-cards/citi-strata-elite-credit-card
